Grid Points_Entries,Latitude,Longitude,Altitude
54,44.49528680625024°,-89.80864695869549°,-1813.8000384236848
55,44.50528680625024°,-89.90864695869548°,-1636.640434733861
56,44.50528680625024°,-89.89864695869548°,-1654.7640051346402
57,44.50528680625024°,-89.88864695869549°,-1672.88736445708
58,44.50528680625024°,-89.87864695869548°,-1691.0107614511587
59,44.50528680625024°,-89.86864695869549°,-1699.4597352510636
60,44.50528680625024°,-89.85864695869549°,-1702.137611951521
61,44.50528680625024°,-89.84864695869548°,-1704.8154331916237
62,44.50528680625024°,-89.83864695869549°,-1707.493005902029
63,44.50528680625024°,-89.82864695869549°,-1710.1708662648837
64,44.50528680625024°,-89.8186469586955°,-1712.8487520554813
65,44.50528680625024°,-89.80864695869549°,-1715.5262884901942
66,44.51528680625024°,-89.90864695869548°,-1535.3107964461315
67,44.51528680625024°,-89.89864695869548°,-1551.4160513524912
68,44.51528680625024°,-89.88864695869549°,-1567.5213112068693
69,44.51528680625024°,-89.87864695869548°,-1583.6262254262124
70,44.51528680625024°,-89.86864695869549°,-1592.2536593216396
71,44.51528680625024°,-89.85864695869549°,-1596.4200113274317
72,44.51528680625024°,-89.84864695869548°,-1600.5866596809676
73,44.51528680625024°,-89.83864695869549°,-1604.753131140928
74,44.51528680625024°,-89.82864695869549°,-1608.9195187814391
75,44.51528680625024°,-89.8186469586955°,-1613.0861157712218
76,44.51528680625024°,-89.80864695869549°,-1617.2526093169115
77,44.525286806250236°,-89.90864695869548°,-1433.981189732011
78,44.525286806250236°,-89.89864695869548°,-1448.0683943106176
79,44.525286806250236°,-89.88864695869549°,-1462.15522705855
80,44.525286806250236°,-89.87864695869548°,-1476.241749646068
81,44.525286806250236°,-89.86864695869549°,-1485.04727345401
82,44.525286806250236°,-89.85864695869549°,-1490.702496962274
83,44.525286806250236°,-89.84864695869548°,-1496.3579770773163
84,44.525286806250236°,-89.83864695869549°,-1502.0129739168947
85,44.525286806250236°,-89.82864695869549°,-1507.6681739349963
86,44.525286806250236°,-89.8186469586955°,-1513.3236531762461
87,44.525286806250236°,-89.80864695869549°,-1518.9787380290916
88,44.53528680625024°,-89.90864695869548°,-1332.651560522463
89,44.53528680625024°,-89.89864695869548°,-1344.7203526482958
90,44.53528680625024°,-89.88864695869549°,-1356.788782672062
91,44.53528680625024°,-89.87864695869548°,-1368.8572364367478
92,44.53528680625024°,-89.86864695869549°,-1377.8411073636798
93,44.53528680625024°,-89.85864695869549°,-1384.9851841113825
94,44.53528680625024°,-89.84864695869548°,-1392.129288827192
95,44.53528680625024°,-89.83864695869549°,-1399.2730738065559
96,44.53528680625024°,-89.82864695869549°,-1406.4171396854774
97,44.53528680625024°,-89.8186469586955°,-1413.5611821409768
98,44.53528680625024°,-89.80864695869549°,-1420.705000562863
99,44.54528680625024°,-89.90864695869548°,-1231.3219007739676
100,44.54528680625024°,-89.89864695869548°,-1241.3722837736102
101,44.54528680625024°,-89.88864695869549°,-1251.4226522206554
102,44.54528680625024°,-89.87864695869548°,-1261.4727188567294
103,44.54528680625024°,-89.86864695869549°,-1270.6350307765
104,44.54528680625024°,-89.85864695869549°,-1279.2676634855889
105,44.54528680625024°,-89.84864695869548°,-1287.9004988589556
106,44.54528680625024°,-89.83864695869549°,-1296.5332094750254
107,44.54528680625024°,-89.82864695869549°,-1305.1658396668977
108,44.54528680625024°,-89.8186469586955°,-1313.7986195932199
109,44.54528680625024°,-89.80864695869549°,-1322.4313849947212
110,44.55528680625024°,-89.90864695869548°,-1129.992321440604
111,44.55528680625024°,-89.89864695869548°,-1138.024609438363
112,44.55528680625024°,-89.88864695869549°,-1146.056635455038
113,44.55528680625024°,-89.87864695869548°,-1154.0882208739642
114,44.55528680625024°,-89.86864695869549°,-1163.4286447798272
115,44.55528680625024°,-89.85864695869549°,-1173.5500797318648
116,44.55528680625024°,-89.84864695869548°,-1183.6717848441085
117,44.55528680625024°,-89.83864695869549°,-1193.7930922708754
118,44.55528680625024°,-89.82864695869549°,-1203.914417030751
119,44.55528680625024°,-89.8186469586955°,-1214.036162853039
120,44.55528680625024°,-89.80864695869549°,-1224.1574960063367
